"No.","Time","Source","Destination","Protocol","Length","Info"
"62","0.329962264","192.168.1.1","192.168.1.196","DNS","178","Standard query response 0x6034 HTTPS cdn.jsdelivr.net.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"63","0.336692812","192.168.1.196","192.124.249.23","TCP","74","44804  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1231684661 TSecr=0 WS=128"
"64","0.336912079","192.168.1.196","192.124.249.23","TCP","74","44820  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1231684661 TSecr=0 WS=128"
"65","0.352484714","192.124.249.23","192.168.1.196","TCP","74","80  >  44800 [SYN, ACK] Seq=0 Ack=1 Win=21720 Len=0 MSS=1460 SACK_PERM TSval=1145844876 TSecr=1231684612 WS=512"
"66","0.352548815","192.168.1.196","192.124.249.23","TCP","66","44800  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1231684677 TSecr=1145844876"
"67","0.352777634","192.168.1.196","192.124.249.23","OCSP","497","Request"
"68","0.394701409","192.124.249.23","192.168.1.196","TCP","74","80  >  44804 [SYN, ACK] Seq=0 Ack=1 Win=21720 Len=0 MSS=1460 SACK_PERM TSval=1145844919 TSecr=1231684661 WS=512"
"69","0.394753090","192.168.1.196","192.124.249.23","TCP","66","44804  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1231684719 TSecr=1145844919"
"70","0.395075356","192.168.1.196","192.124.249.23","OCSP","497","Request"
"71","0.399840714","192.124.249.23","192.168.1.196","TCP","74","80  >  44820 [SYN, ACK] Seq=0 Ack=1 Win=21720 Len=0 MSS=1460 SACK_PERM TSval=1145844924 TSecr=1231684661 WS=512"
"72","0.399883336","192.168.1.196","192.124.249.23","TCP","66","44820  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1231684724 TSecr=1145844924"
"73","0.400103067","192.168.1.196","192.124.249.23","OCSP","497","Request"
"74","0.417074445","192.124.249.23","192.168.1.196","TCP","66","80  >  44800 [ACK] Seq=1 Ack=432 Win=21504 Len=0 TSval=1145844940 TSecr=1231684677"
"75","0.449304470","192.124.249.23","192.168.1.196","OCSP","2742","Response"
"76","0.449340158","192.168.1.196","192.124.249.23","TCP","66","44800  >  80 [ACK] Seq=432 Ack=2677 Win=69504 Len=0 TSval=1231684773 TSecr=1145844972"
"77","0.452936772","192.124.249.23","192.168.1.196","TCP","66","80  >  44804 [ACK] Seq=1 Ack=432 Win=21504 Len=0 TSval=1145844978 TSecr=1231684719"
"78","0.454099991","192.168.1.196","34.96.118.58","TLSv1.3","130","Change Cipher Spec, Application Data"
"79","0.454430480","192.168.1.196","34.96.118.58","TLSv1.3","158","Application Data"
"80","0.458002069","34.96.118.58","192.168.1.196","TLSv1.3","684","Application Data, Application Data"
"81","0.458002221","34.96.118.58","192.168.1.196","TLSv1.3","97","Application Data"
"82","0.458035928","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=2059 Ack=5250 Win=64128 Len=0 TSval=4134288386 TSecr=2960358912"
"83","0.458092147","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=2059 Ack=5281 Win=64128 Len=0 TSval=4134288386 TSecr=2960358912"
"84","0.458328559","192.168.1.196","34.96.118.58","TLSv1.3","97","Application Data"
"85","0.462717817","192.124.249.23","192.168.1.196","TCP","66","80  >  44820 [ACK] Seq=1 Ack=432 Win=21504 Len=0 TSval=1145844987 TSecr=1231684724"
"86","0.465860316","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=5281 Ack=2090 Win=267264 Len=0 TSval=2960358920 TSecr=4134288386"
"87","0.472401515","192.124.249.23","192.168.1.196","OCSP","2742","Response"
"88","0.472432713","192.168.1.196","192.124.249.23","TCP","66","44804  >  80 [ACK] Seq=432 Ack=2677 Win=69504 Len=0 TSval=1231684796 TSecr=1145844997"
"89","0.473395186","192.168.1.196","34.96.118.58","TLSv1.3","130","Change Cipher Spec, Application Data"
"90","0.473889749","192.168.1.196","34.96.118.58","TLSv1.3","175","Application Data"
"91","0.474282041","192.168.1.196","34.96.118.58","TLSv1.3","796","Application Data"
"92","0.477381627","34.96.118.58","192.168.1.196","TLSv1.3","684","Application Data, Application Data"
"93","0.477381763","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=5281 Ack=2820 Win=266752 Len=0 TSval=2960358931 TSecr=4134288402"
"94","0.477381783","34.96.118.58","192.168.1.196","TLSv1.3","97","Application Data"
"95","0.477415015","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=2076 Ack=5250 Win=64128 Len=0 TSval=4134288405 TSecr=3032609590"
"96","0.477472648","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=2076 Ack=5281 Win=64128 Len=0 TSval=4134288405 TSecr=3032609591"
"97","0.477781582","192.168.1.196","34.96.118.58","TLSv1.3","90","Application Data"
"98","0.477860040","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [FIN, ACK] Seq=2100 Ack=5281 Win=64128 Len=0 TSval=4134288406 TSecr=3032609591"
"99","0.481530644","34.96.118.58","192.168.1.196","TCP","66","443  >  34834 [FIN, ACK] Seq=5281 Ack=2101 Win=267264 Len=0 TSval=3032609595 TSecr=4134288406"
"100","0.481530829","192.124.249.23","192.168.1.196","OCSP","2742","Response"
"101","0.481553216","192.168.1.196","34.96.118.58","TCP","66","34834  >  443 [ACK] Seq=2101 Ack=5282 Win=64128 Len=0 TSval=4134288410 TSecr=3032609595"
"102","0.481629275","192.168.1.196","192.124.249.23","TCP","66","44820  >  80 [ACK] Seq=432 Ack=2677 Win=69504 Len=0 TSval=1231684806 TSecr=1145845006"
"103","0.483660404","192.168.1.196","34.96.118.58","TLSv1.3","130","Change Cipher Spec, Application Data"
"104","0.484256601","192.168.1.196","34.96.118.58","TLSv1.3","175","Application Data"
"105","0.488594010","34.96.118.58","192.168.1.196","TLSv1.3","684","Application Data, Application Data"
"106","0.488594477","34.96.118.58","192.168.1.196","TLSv1.3","97","Application Data"
"107","0.488626590","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=2076 Ack=5250 Win=64128 Len=0 TSval=4134288417 TSecr=3354010527"
"108","0.488745208","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=2076 Ack=5281 Win=64128 Len=0 TSval=4134288417 TSecr=3354010528"
"109","0.489226942","192.168.1.196","34.96.118.58","TLSv1.3","90","Application Data"
"110","0.489351930","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [FIN, ACK] Seq=2100 Ack=5281 Win=64128 Len=0 TSval=4134288417 TSecr=3354010528"
"111","0.492865725","34.96.118.58","192.168.1.196","TCP","66","443  >  34850 [FIN, ACK] Seq=5281 Ack=2100 Win=267264 Len=0 TSval=3354010533 TSecr=4134288417"
"112","0.492865889","34.96.118.58","192.168.1.196","TCP","66","443  >  34850 [ACK] Seq=5282 Ack=2101 Win=267264 Len=0 TSval=3354010533 TSecr=4134288417"
"113","0.492895441","192.168.1.196","34.96.118.58","TCP","66","34850  >  443 [ACK] Seq=2101 Ack=5282 Win=64128 Len=0 TSval=4134288421 TSecr=3354010533"
"114","0.547972981","34.96.118.58","192.168.1.196","TLSv1.3","232","Application Data"
"115","0.547973176","34.96.118.58","192.168.1.196","TLSv1.3","556","Application Data"
"116","0.548206334","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=2820 Ack=5937 Win=64128 Len=0 TSval=4134288476 TSecr=2960359002"
"117","0.548756202","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
"118","0.548810920","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
"119","0.551348881","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=5976 Ack=2859 Win=266752 Len=0 TSval=2960359006 TSecr=4134288477"
"120","0.577838063","192.168.1.196","34.120.208.123","TLSv1.2","215","Application Data"
"121","0.579223540","192.168.1.196","34.120.208.123","TLSv1.2","1389","Application Data"
"122","0.581109178","34.120.208.123","192.168.1.196","TCP","66","443  >  39678 [ACK] Seq=1 Ack=150 Win=1015 Len=0 TSval=4219133552 TSecr=1073304849"
"123","0.582200191","34.120.208.123","192.168.1.196","TCP","66","443  >  39678 [ACK] Seq=1 Ack=1473 Win=1010 Len=0 TSval=4219133554 TSecr=1073304850"
"124","0.612919289","192.168.1.196","34.96.118.58","TLSv1.3","241","Application Data"
"125","0.619261610","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=5976 Ack=3034 Win=266752 Len=0 TSval=2960359070 TSecr=4134288541"
"126","0.619261938","34.96.118.58","192.168.1.196","TLSv1.3","213","Application Data"
"127","0.619261966","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"128","0.619261985","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"129","0.619262003","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"130","0.619262021","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"131","0.619262039","34.96.118.58","192.168.1.196","TLSv1.3","1466","Application Data"
"132","0.619262058","34.96.118.58","192.168.1.196","TLSv1.3","7060","Application Data, Application Data, Application Data, Application Data, Application Data"
"133","0.619351713","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=3034 Ack=20117 Win=55296 Len=0 TSval=4134288547 TSecr=2960359072"
"134","0.620217334","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
"135","0.620575317","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
"136","0.629826926","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=20156 Ack=3073 Win=266752 Len=0 TSval=2960359083 TSecr=4134288549"
"137","0.745292865","192.168.1.196","34.96.118.58","TLSv1.3","697","Application Data"
"138","0.746966342","192.168.1.196","34.96.118.58","TLSv1.3","221","Application Data"
"139","0.747106537","192.168.1.196","34.96.118.58","TLSv1.3","446","Application Data"
"140","0.749370779","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=20156 Ack=3704 Win=266240 Len=0 TSval=2960359203 TSecr=4134288673"
"141","0.759292027","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=20156 Ack=3859 Win=266240 Len=0 TSval=2960359204 TSecr=4134288675"
"142","0.759292398","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=20156 Ack=4239 Win=265984 Len=0 TSval=2960359204 TSecr=4134288675"
"143","0.799130125","34.120.208.123","192.168.1.196","TLSv1.2","135","Application Data"
"144","0.799130406","34.120.208.123","192.168.1.196","TLSv1.2","297","Application Data"
"145","0.799731528","34.120.208.123","192.168.1.196","TLSv1.2","105","Application Data"
"146","0.801434645","192.168.1.196","34.120.208.123","TCP","66","39678  >  443 [ACK] Seq=1473 Ack=340 Win=591 Len=0 TSval=1073305072 TSecr=4219133771"
"147","0.801650357","192.168.1.196","34.120.208.123","TLSv1.2","105","Application Data"
"148","0.804824608","34.120.208.123","192.168.1.196","TCP","66","443  >  39678 [ACK] Seq=340 Ack=1512 Win=1010 Len=0 TSval=4219133776 TSecr=1073305073"
"149","0.809224392","34.96.118.58","192.168.1.196","TLSv1.3","399","Application Data"
"150","0.809224724","34.96.118.58","192.168.1.196","TLSv1.3","290","Application Data"
"151","0.809405788","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=4239 Ack=20713 Win=64128 Len=0 TSval=4134288737 TSecr=2960359264"
"152","0.810236660","34.96.118.58","192.168.1.196","TLSv1.3","105","Application Data"
"153","0.810295425","192.168.1.196","34.96.118.58","TLSv1.3","105","Application Data"
