"No.","Time","Source","Destination","Protocol","Length","Info"
"110","0.722347769","144.195.42.38","192.168.1.196","UDP","1117","8801  >  52088 Len=1075"
"111","0.728717493","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"112","0.742401772","144.195.42.38","192.168.1.196","UDP","1124","8801  >  52088 Len=1082"
"113","0.742402057","144.195.42.38","192.168.1.196","UDP","1117","8801  >  52088 Len=1075"
"114","0.748984916","144.195.42.38","192.168.1.196","UDP","148","8801  >  54482 Len=106"
"115","0.752263398","144.195.42.38","192.168.1.196","UDP","1116","8801  >  52088 Len=1074"
"116","0.764942711","192.168.1.196","144.195.42.38","UDP","154","54482  >  8801 Len=112"
"117","0.793237733","144.195.42.38","192.168.1.196","UDP","1033","8801  >  52088 Len=991"
"118","0.803483827","144.195.42.38","192.168.1.196","UDP","1033","8801  >  52088 Len=991"
"119","0.803535971","144.195.42.38","192.168.1.196","UDP","1033","8801  >  52088 Len=991"
"120","0.806377981","192.168.1.196","144.195.42.38","UDP","199","54482  >  8801 Len=157"
"121","0.813022561","144.195.42.38","192.168.1.196","UDP","1032","8801  >  52088 Len=990"
"122","0.827919687","192.168.1.196","144.195.42.38","UDP","263","54482  >  8801 Len=221"
"123","0.848693490","192.168.1.196","144.195.42.38","UDP","319","54482  >  8801 Len=277"
"124","0.851806014","144.195.42.38","192.168.1.196","UDP","152","8801  >  54482 Len=110"
"125","0.864462993","144.195.42.38","192.168.1.196","UDP","1201","8801  >  52088 Len=1159"
"126","0.870242009","192.168.1.196","144.195.42.38","UDP","314","54482  >  8801 Len=272"
"127","0.874473058","144.195.42.38","192.168.1.196","UDP","1200","8801  >  52088 Len=1158"
"128","0.885691532","144.195.42.38","192.168.1.196","UDP","1200","8801  >  52088 Len=1158"
"129","0.885862110","144.195.42.38","192.168.1.196","UDP","1200","8801  >  52088 Len=1158"
"130","0.891222828","192.168.1.196","144.195.42.38","UDP","292","54482  >  8801 Len=250"
"131","0.913206020","192.168.1.196","144.195.42.38","UDP","248","54482  >  8801 Len=206"
"132","0.920533210","192.168.1.149","224.0.0.251","MDNS","86","Standard query 0x0000 ANY kokilida._dosvc._tcp.local, ""QM"" question"
"133","0.920960858","192.168.1.196","144.195.42.38","TLSv1.2","155","Application Data"
"134","0.921342131","fe80::8a2d:1ab:f935:f395","ff02::fb","MDNS","106","Standard query 0x0000 ANY kokilida._dosvc._tcp.local, ""QM"" question"
"135","0.926069886","144.195.42.38","192.168.1.196","UDP","1200","8801  >  52088 Len=1158"
"136","0.933990391","192.168.1.196","144.195.42.38","UDP","324","54482  >  8801 Len=282"
"137","0.946081120","144.195.42.38","192.168.1.196","UDP","1265","8801  >  52088 Len=1223"
"138","0.946081454","144.195.42.38","192.168.1.196","UDP","1266","8801  >  52088 Len=1224"
"139","0.955543343","192.168.1.196","144.195.42.38","UDP","351","54482  >  8801 Len=309"
"140","0.963484469","144.195.42.38","192.168.1.196","UDP","146","8801  >  54482 Len=104"
"141","0.964768983","144.195.42.38","192.168.1.196","UDP","136","8801  >  54482 Len=94"
"142","0.978106554","192.168.1.196","144.195.42.38","UDP","360","54482  >  8801 Len=318"
"143","0.999475900","192.168.1.196","144.195.42.38","UDP","359","54482  >  8801 Len=317"
"144","1.006502799","144.195.42.38","192.168.1.196","UDP","1221","8801  >  52088 Len=1179"
"145","1.006689104","192.168.1.196","144.195.42.38","TLSv1.2","104","Application Data"
"146","1.007027462","192.168.1.196","144.195.42.38","UDP","194","52088  >  8801 Len=152"
"147","1.017270011","144.195.42.38","192.168.1.196","UDP","1221","8801  >  52088 Len=1179"
"148","1.017270473","144.195.42.38","192.168.1.196","UDP","1220","8801  >  52088 Len=1178"
"149","1.020513531","192.168.1.196","144.195.42.38","UDP","340","54482  >  8801 Len=298"
"150","1.026800018","144.195.42.38","192.168.1.196","UDP","1220","8801  >  52088 Len=1178"
"151","1.026800574","144.195.42.38","192.168.1.196","UDP","1220","8801  >  52088 Len=1178"
"152","1.036495201","144.195.42.38","192.168.1.196","UDP","1227","8801  >  52088 Len=1185"
"153","1.042598958","192.168.1.196","144.195.42.38","UDP","316","54482  >  8801 Len=274"
"154","1.042938520","192.168.1.196","144.195.42.38","UDP","311","54482  >  8801 Len=269"
"155","1.062677291","192.168.1.196","144.195.42.38","UDP","324","54482  >  8801 Len=282"
"156","1.064456410","144.195.42.38","192.168.1.196","UDP","163","8801  >  54482 Len=121"
"157","1.067503171","144.195.42.38","192.168.1.196","UDP","1254","8801  >  52088 Len=1212"
"158","1.078192211","144.195.42.38","192.168.1.196","UDP","1254","8801  >  52088 Len=1212"
"159","1.078192444","144.195.42.38","192.168.1.196","UDP","1254","8801  >  52088 Len=1212"
"160","1.083416938","192.168.1.196","144.195.42.38","UDP","342","54482  >  8801 Len=300"
"161","1.105557507","192.168.1.196","144.195.42.38","UDP","346","54482  >  8801 Len=304"
"162","1.116946094","144.195.42.38","192.168.1.196","TCP","66","443  >  37856 [ACK] Seq=123 Ack=802 Win=16 Len=0 TSval=3744063340 TSecr=516257564"
"163","1.123291082","144.195.42.38","192.168.1.196","TLSv1.2","116","Application Data"
"164","1.123310371","192.168.1.196","144.195.42.38","TCP","66","37856  >  443 [ACK] Seq=840 Ack=173 Win=712 Len=0 TSval=516257766 TSecr=3744063346"
"165","1.126056924","192.168.1.196","144.195.42.38","UDP","341","54482  >  8801 Len=299"
"166","1.146316681","144.195.42.38","192.168.1.196","UDP","156","8801  >  54482 Len=114"
"167","1.147647312","192.168.1.196","144.195.42.38","UDP","350","54482  >  8801 Len=308"
"168","1.148882777","144.195.42.38","192.168.1.196","UDP","1210","8801  >  52088 Len=1168"
"169","1.148882951","144.195.42.38","192.168.1.196","UDP","1211","8801  >  52088 Len=1169"
"170","1.158731385","144.195.42.38","192.168.1.196","UDP","1210","8801  >  52088 Len=1168"
"171","1.159261609","144.195.42.38","192.168.1.196","UDP","1210","8801  >  52088 Len=1168"
"172","1.169096318","192.168.1.196","144.195.42.38","UDP","354","54482  >  8801 Len=312"
"173","1.169513353","144.195.42.38","192.168.1.196","UDP","1210","8801  >  52088 Len=1168"
"174","1.190570948","192.168.1.196","144.195.42.38","UDP","331","54482  >  8801 Len=289"
"175","1.194770416","192.168.1.149","224.0.0.251","MDNS","349","Standard query response 0x0000 PTR, cache flush kokilida._dosvc._tcp.local SRV, cache flush 0 0 7680 kokilida.local TXT, cache flush A, cache flush 192.168.1.149 AAAA, cache flush 2a0d:6fc2:4940:600:e34a:14c6:d544:b12d AAAA, cache flush 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda AAAA, cache flush fe80::8a2d:1ab:f935:f395"
"176","1.194770508","192.168.1.149","224.0.0.251","MDNS","172","Standard query response 0x0000 AAAA, cache flush 2a0d:6fc2:4940:600:e34a:14c6:d544:b12d AAAA, cache flush 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda AAAA, cache flush fe80::8a2d:1ab:f935:f395 NSEC, cache flush kokilida.local"
"177","1.196272240","fe80::8a2d:1ab:f935:f395","ff02::fb","MDNS","369","Standard query response 0x0000 PTR, cache flush kokilida._dosvc._tcp.local SRV, cache flush 0 0 7680 kokilida.local TXT, cache flush A, cache flush 192.168.1.149 AAAA, cache flush 2a0d:6fc2:4940:600:e34a:14c6:d544:b12d AAAA, cache flush 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda AAAA, cache flush fe80::8a2d:1ab:f935:f395"
"178","1.197615500","192.168.1.149","224.0.0.251","MDNS","292","Standard query response 0x0000 SRV, cache flush 0 0 7680 kokilida.local TXT, cache flush A, cache flush 192.168.1.149 AAAA, cache flush 2a0d:6fc2:4940:600:e34a:14c6:d544:b12d AAAA, cache flush 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda AAAA, cache flush fe80::8a2d:1ab:f935:f395"
"179","1.198574910","fe80::8a2d:1ab:f935:f395","ff02::fb","MDNS","312","Standard query response 0x0000 SRV, cache flush 0 0 7680 kokilida.local TXT, cache flush A, cache flush 192.168.1.149 AAAA, cache flush 2a0d:6fc2:4940:600:e34a:14c6:d544:b12d AAAA, cache flush 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda AAAA, cache flush fe80::8a2d:1ab:f935:f395"
"180","1.200836918","144.195.42.38","192.168.1.196","UDP","927","8801  >  52088 Len=885"
"181","1.200837057","144.195.42.38","192.168.1.196","UDP","927","8801  >  52088 Len=885"
"182","1.204693116","144.195.42.38","192.168.1.196","TLSv1.2","104","Application Data"
"183","1.204693301","144.195.42.38","192.168.1.196","TLSv1.2","115","Application Data"
"184","1.204719673","192.168.1.196","144.195.42.38","TCP","66","37856  >  443 [ACK] Seq=840 Ack=211 Win=712 Len=0 TSval=516257847 TSecr=3744063425"
"185","1.204830483","192.168.1.196","144.195.42.38","TCP","66","37856  >  443 [ACK] Seq=840 Ack=260 Win=712 Len=0 TSval=516257848 TSecr=3744063427"
"186","1.205005959","192.168.1.196","144.195.42.38","TLSv1.2","133","Application Data"
"187","1.210549005","144.195.42.38","192.168.1.196","UDP","926","8801  >  52088 Len=884"
"188","1.211445358","192.168.1.196","144.195.42.38","UDP","296","54482  >  8801 Len=254"
"189","1.228233585","144.195.42.38","192.168.1.196","TLSv1.2","138","Application Data"
"190","1.233048650","192.168.1.196","144.195.42.38","UDP","276","54482  >  8801 Len=234"
"191","1.248971614","144.195.42.38","192.168.1.196","UDP","151","8801  >  54482 Len=109"
"192","1.254444379","192.168.1.196","144.195.42.38","TLSv1.2","116","Application Data"
"193","1.254672448","192.168.1.196","144.195.42.38","UDP","270","54482  >  8801 Len=228"
"194","1.276924269","192.168.1.196","144.195.42.38","UDP","106","54482  >  8801 Len=64"
"195","1.277118899","192.168.1.196","144.195.42.38","UDP","279","54482  >  8801 Len=237"
"196","1.278917415","144.195.42.38","192.168.1.196","UDP","137","8801  >  54482 Len=95"
"197","1.282785360","144.195.42.38","192.168.1.196","UDP","1131","8801  >  52088 Len=1089"
"198","1.282785708","144.195.42.38","192.168.1.196","UDP","1131","8801  >  52088 Len=1089"
"199","1.292269225","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"200","1.292269485","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"201","1.296954316","192.168.1.196","144.195.42.38","UDP","283","54482  >  8801 Len=241"
"202","1.301932765","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"203","1.301933025","144.195.42.38","192.168.1.196","UDP","1130","8801  >  52088 Len=1088"
"204","1.318479073","192.168.1.196","144.195.42.38","UDP","282","54482  >  8801 Len=240"
"205","1.332232094","144.195.42.38","192.168.1.196","UDP","1073","8801  >  52088 Len=1031"
"206","1.332434838","192.168.1.196","144.195.42.38","UDP","194","52088  >  8801 Len=152"
"207","1.339747534","192.168.1.196","144.195.42.38","UDP","276","54482  >  8801 Len=234"
"208","1.342623037","144.195.42.38","192.168.1.196","UDP","1080","8801  >  52088 Len=1038"
